To	From
ENSG00000059122	FLYWCH1
ENSG00000261971	RP11-473M20.7
ENSG00000008517	IL32
ENSG00000263072	RP11-473M20.14
ENSG00000006194	ZNF263
ENSG00000162086	ZNF75A
ENSG00000103343	ZNF174
ENSG00000103351	CLUAP1
ENSG00000213918	DNASE1
ENSG00000090447	TFAP4
ENSG00000168096	ANKS3
ENSG00000103199	ZNF500
ENSG00000260349	RP11-473I1.5
ENSG00000166669	ATF7IP2
ENSG00000185338	SOCS1
ENSG00000166780	C16orf45
ENSG00000072864	NDE1
ENSG00000133392	MYH11
ENSG00000134419	RPS15A
ENSG00000140749	IGSF6
ENSG00000155719	OTOA
ENSG00000185864	NPIPB4
ENSG00000185716	C16orf52
ENSG00000058600	POLR3E
ENSG00000140743	CDR2
ENSG00000243716	NPIPB5
ENSG00000103365	GGA2
ENSG00000166501	PRKCB
ENSG00000103522	IL21R
ENSG00000077235	GTF3C1
ENSG00000176046	NUPR1
ENSG00000176476	CCDC101
ENSG00000178188	SH2B1
ENSG00000177548	RABEP2
ENSG00000213658	LAT
ENSG00000260517	RP11-426C22.5
ENSG00000198106	SNX29P2
ENSG00000197471	SPN
ENSG00000185905	C16orf54
ENSG00000102879	CORO1A
ENSG00000261416	RP11-455F5.5
ENSG00000261052	SULT1A3
ENSG00000180035	ZNF48
ENSG00000180096	SEPT1
ENSG00000179965	ZNF771
ENSG00000235560	AC002310.12
ENSG00000169951	ZNF764
ENSG00000260083	MIR4519
ENSG00000260267	RP11-452L6.5
ENSG00000083799	CYLD
ENSG00000103479	RBL2
ENSG00000166971	AKTIP
ENSG00000198848	CES1
ENSG00000260621	RP11-413H22.2
ENSG00000125124	BBS2
ENSG00000125148	MT2A
ENSG00000169715	MT1E
ENSG00000205364	MT1M
ENSG00000198417	MT1F
ENSG00000125144	MT1G
ENSG00000205358	MT1H
ENSG00000187193	MT1X
ENSG00000140853	NLRC5
ENSG00000102962	CCL22
ENSG00000103037	SETD6
ENSG00000159753	RLTPR
ENSG00000102977	ACD
ENSG00000102981	PARD6A
ENSG00000102901	CENPT
ENSG00000103064	SLC7A6
ENSG00000132600	PRMT7
ENSG00000184939	ZFP90
ENSG00000213380	COG8
ENSG00000180917	CMTR2
ENSG00000102984	ZNF821
ENSG00000103091	WDR59
ENSG00000205078	SYCE1L
ENSG00000178573	MAF
ENSG00000261609	GAN
ENSG00000260682	7SK
ENSG00000103168	TAF1C
ENSG00000154102	C16orf74
ENSG00000103264	FBXO31
ENSG00000140948	ZCCHC14
ENSG00000104731	KLHDC4
ENSG00000103257	SLC7A5
ENSG00000051523	CYBA
ENSG00000259877	RP11-46C24.7
ENSG00000268218	AC137932.1
ENSG00000167526	RPL13
ENSG00000167523	SPATA33
ENSG00000158805	ZNF276
ENSG00000183688	FAM101B
ENSG00000236618	PITPNA-AS1
ENSG00000167703	SLC43A2
ENSG00000070366	SMG6
ENSG00000141258	SGSM2
ENSG00000083454	P2RX5
ENSG00000262758	CTD-3195I5.1
ENSG00000074356	C17orf85
ENSG00000182557	SPNS3
ENSG00000161921	CXCL16
ENSG00000182853	VMO1
ENSG00000108518	PFN1
ENSG00000180787	ZFP3
ENSG00000180626	ZNF594
ENSG00000091592	NLRP1
ENSG00000132530	XAF1
ENSG00000215067	AC027763.2
ENSG00000132514	CLEC10A
ENSG00000170296	GABARAP
ENSG00000132522	GPS2
ENSG00000215041	NEURL4
ENSG00000072818	ACAP1
ENSG00000181222	POLR2A
ENSG00000129226	CD68
ENSG00000170004	CHD3
ENSG00000179094	PER1
ENSG00000220205	VAMP2
ENSG00000178977	LINC00324
ENSG00000161970	RPL26
ENSG00000273290	CTC-297N7.8
ENSG00000170222	ADPRM
ENSG00000187824	TMEM220
ENSG00000266378	RP11-214O1.3
ENSG00000266538	RP11-385D13.3
ENSG00000011295	TTC19
ENSG00000108474	PIGL
ENSG00000166582	CENPV
ENSG00000181350	FAM211A
ENSG00000133030	MPRIP
ENSG00000226746	SMCR5
ENSG00000175662	TOM1L2
ENSG00000177427	MIEF2
ENSG00000154016	GRAP
ENSG00000232859	LYRM9
ENSG00000258472	RP11-192H23.4
ENSG00000109107	ALDOC
ENSG00000265287	RP11-192H23.6
ENSG00000198242	RPL23A
ENSG00000160602	NEK8
ENSG00000076604	TRAF4
ENSG00000168792	ABHD15
ENSG00000265739	RP11-354P11.3
ENSG00000185158	LRRC37B
ENSG00000108691	CCL2
ENSG00000108688	CCL7
ENSG00000108700	CCL8
ENSG00000092871	RFFL
ENSG00000166750	SLFN5
ENSG00000267364	RP11-47L3.1
ENSG00000205045	SLFN12L
ENSG00000161570	CCL5
ENSG00000167236	CCL23
ENSG00000006075	CCL3
ENSG00000129277	CCL4
ENSG00000141140	MYO19
ENSG00000129282	MRM1
ENSG00000263874	LINC00672
ENSG00000108298	RPL19
ENSG00000264198	RP11-94L15.2
ENSG00000161405	IKZF3
ENSG00000172057	ORMDL3
ENSG00000126351	THRA
ENSG00000126353	CCR7
ENSG00000167920	TMEM99
ENSG00000108773	KAT2A
ENSG00000266962	RP11-400F19.6
ENSG00000108799	EZH1
ENSG00000266967	AARSD1
ENSG00000131469	RPL27
ENSG00000188825	LINC00910
ENSG00000267080	ASB16-AS1
ENSG00000260793	RP5-882C2.2
ENSG00000030582	GRN
ENSG00000181513	ACBD4
ENSG00000186834	HEXIM1
ENSG00000224505	AC002117.1
ENSG00000267121	CTD-2020K17.1
ENSG00000120071	KANSL1
ENSG00000228696	ARL17B
ENSG00000178852	EFCAB13
ENSG00000159111	MRPL10
ENSG00000141295	SCRN2
ENSG00000141293	SKAP1
ENSG00000173917	HOXB2
ENSG00000230148	HOXB-AS1
ENSG00000121104	FAM117A
ENSG00000015532	XYLT2
ENSG00000141232	TOB1
ENSG00000239672	NME1
ENSG00000183691	NOG
ENSG00000214226	C17orf67
ENSG00000153933	DGKE
ENSG00000263089	RP11-166P13.4
ENSG00000153944	MSI2
ENSG00000265148	BZRAP1-AS1
ENSG00000265206	MIR142
ENSG00000108375	RNF43
ENSG00000108423	TUBD1
ENSG00000141376	BCAS3
ENSG00000008283	CYB561
ENSG00000007312	CD79B
ENSG00000108622	ICAM2
ENSG00000178607	ERN1
ENSG00000266402	SNORA76
ENSG00000256525	POLG2
ENSG00000258890	CEP95
ENSG00000108854	SMURF2
ENSG00000154229	PRKCA
ENSG00000154217	PITPNC1
ENSG00000154265	ABCA5
ENSG00000108984	MAP2K6
ENSG00000166685	COG1
ENSG00000172809	RPL38
ENSG00000167851	CD300A
ENSG00000186407	CD300E
ENSG00000109062	SLC9A3R1
ENSG00000182173	TSEN54
ENSG00000073350	LLGL2
ENSG00000188878	FBF1
ENSG00000141576	RNF157
ENSG00000175931	UBE2O
ENSG00000182534	MXRA7
ENSG00000078687	TNRC6C
ENSG00000141524	TMC6
ENSG00000167895	TMC8
ENSG00000184557	SOCS3
ENSG00000055483	USP36
ENSG00000173821	RNF213
ENSG00000263069	CTD-2047H16.4
ENSG00000184009	ACTG1
ENSG00000262049	RP13-1032I1.7
ENSG00000173762	CD7
ENSG00000141556	TBCD
ENSG00000101574	METTL4
ENSG00000177426	TGIF1
ENSG00000177337	DLGAP1-AS1
ENSG00000264575	LINC00526
ENSG00000154655	L3MBTL4
ENSG00000266053	RP11-143J12.2
ENSG00000101624	CEP76
ENSG00000168675	LDLRAD4
ENSG00000175322	ZNF519
ENSG00000141446	ESCO1
ENSG00000168234	TTC39C
ENSG00000141380	SS18
ENSG00000141384	TAF4B
ENSG00000166974	MAPRE2
ENSG00000186812	ZNF397
ENSG00000186814	ZSCAN30
ENSG00000150477	KIAA1328
ENSG00000078043	PIAS2
ENSG00000265681	RPL17
ENSG00000176624	MEX3C
ENSG00000196628	TCF4
ENSG00000267040	RP11-35G9.3
ENSG00000141682	PMAIP1
ENSG00000171791	BCL2
ENSG00000150637	CD226
ENSG00000264247	LINC00909
ENSG00000215421	ZNF407
ENSG00000101255	TRIB3
ENSG00000234684	SDCBP2-AS1
ENSG00000132635	PCED1A
ENSG00000185019	UBOX5
ENSG00000101224	CDC25B
ENSG00000229539	RP11-119B16.2
ENSG00000182621	PLCB1
ENSG00000089123	TASP1
ENSG00000178726	THBD
ENSG00000125810	CD93
ENSG00000125814	NAPB
ENSG00000101439	CST3
ENSG00000077984	CST7
ENSG00000154930	ACSS1
ENSG00000130684	ZNF337
ENSG00000197183	C20orf112
ENSG00000078699	CBFA2T2
ENSG00000101460	MAP1LC3A
ENSG00000131067	GGT7
ENSG00000230155	RP3-477O4.14
ENSG00000101082	SLA2
ENSG00000080839	RBL1
ENSG00000101445	PPP1R16B
ENSG00000204103	MAFB
ENSG00000124177	CHD6
ENSG00000223891	OSER1-AS1
ENSG00000124120	TTPAL
ENSG00000168734	PKIG
ENSG00000196839	ADA
ENSG00000198026	ZNF335
ENSG00000100985	MMP9
ENSG00000101017	CD40
ENSG00000177410	ZFAS1
ENSG00000172216	CEBPB
ENSG00000124243	BCAS4
ENSG00000101096	NFATC2
ENSG00000182463	TSHZ2
ENSG00000132819	RBM38
ENSG00000124256	ZBP1
ENSG00000124225	PMEPA1
ENSG00000101160	CTSZ
ENSG00000196227	FAM217B
ENSG00000171858	RPS21
ENSG00000130589	HELZ2
ENSG00000101216	GMEB2
ENSG00000232442	CTD-3184A7.4
ENSG00000197457	STMN3
ENSG00000125520	SLC2A4RG
ENSG00000203880	PCMTD2
ENSG00000197540	GZMM
ENSG00000197766	CFD
ENSG00000198858	R3HDM4
ENSG00000064687	ABCA7
ENSG00000160953	MUM1
ENSG00000130005	GAMT
ENSG00000115268	RPS15
ENSG00000071564	TCF3
ENSG00000261526	CTB-31O20.2
ENSG00000099840	IZUMO4
ENSG00000104897	SF3A2
ENSG00000099860	GADD45B
ENSG00000176533	GNG7
ENSG00000104964	AES
ENSG00000125910	S1PR4
ENSG00000161091	MFSD12
ENSG00000064961	HMG20B
ENSG00000011132	APBA3
ENSG00000007264	MATK
ENSG00000105246	EBI3
ENSG00000167664	TMIGD2
ENSG00000167680	SEMA6B
ENSG00000205784	ARRDC5
ENSG00000130255	RPL36
ENSG00000267571	AC104532.4
ENSG00000105519	CAPS
ENSG00000125648	SLC25A23
ENSG00000205744	DENND1C
ENSG00000125735	TNFSF14
ENSG00000125731	SH2D3A
ENSG00000183019	C19orf59
ENSG00000104921	FCER2
ENSG00000090661	CERS4
ENSG00000167775	CD320
ENSG00000267855	NDUFA7
ENSG00000233927	RPS28
ENSG00000196110	ZNF699
ENSG00000188321	ZNF559
ENSG00000174652	ZNF266
ENSG00000130813	C19orf66
ENSG00000076662	ICAM3
ENSG00000130734	ATG4D
ENSG00000129347	KRI1
ENSG00000129355	CDKN2D
ENSG00000129353	SLC44A2
ENSG00000267100	ILF3-AS1
ENSG00000198551	ZNF627
ENSG00000102575	ACP5
ENSG00000197044	ZNF441
ENSG00000171291	ZNF439
ENSG00000223547	ZNF844
ENSG00000197857	ZNF44
ENSG00000188868	ZNF563
ENSG00000196466	ZNF799
ENSG00000173875	ZNF791
ENSG00000105576	TNPO2
ENSG00000095066	HOOK2
ENSG00000167815	PRDX2
ENSG00000179218	CALR
ENSG00000008441	NFIX
ENSG00000160888	IER2
ENSG00000141837	CACNA1A
ENSG00000037757	MRI1
ENSG00000267519	MIR24-2
ENSG00000132002	DNAJB1
ENSG00000105122	RASAL3
ENSG00000196684	HSH2D
ENSG00000127528	KLF2
ENSG00000130299	GTPBP3
ENSG00000269640	CTD-2521M24.9
ENSG00000105639	JAK3
ENSG00000105640	RPL18A
ENSG00000105643	ARRDC2
ENSG00000096996	IL12RB1
ENSG00000099308	MAST3
ENSG00000216490	IFI30
ENSG00000130513	GDF15
ENSG00000105655	ISYNA1
ENSG00000105656	ELL
ENSG00000268030	AC005253.2
ENSG00000269131	AC004447.2
ENSG00000181035	SLC25A42
ENSG00000105717	PBX4
ENSG00000064547	LPAR2
ENSG00000181896	ZNF101
ENSG00000105708	ZNF14
ENSG00000081665	ZNF506
ENSG00000256771	ZNF253
ENSG00000237440	ZNF737
ENSG00000188171	ZNF626
ENSG00000105750	ZNF85
ENSG00000118620	ZNF430
ENSG00000160352	ZNF714
ENSG00000196705	ZNF431
ENSG00000182141	ZNF708
ENSG00000172687	ZNF738
ENSG00000196268	ZNF493
ENSG00000197013	ZNF429
ENSG00000198521	ZNF43
ENSG00000167232	ZNF91
ENSG00000197372	ZNF675
ENSG00000196172	ZNF681
ENSG00000205246	RPSAP58
ENSG00000268362	CTD-2017D11.1
ENSG00000213096	ZNF254
ENSG00000261824	LINC00662
ENSG00000166289	PLEKHF1
ENSG00000168813	ZNF507
ENSG00000166398	KIAA0355
ENSG00000126249	PDCD2L
ENSG00000089335	ZNF302
ENSG00000197841	ZNF181
ENSG00000089351	GRAMD1A
ENSG00000105711	SCN1B
ENSG00000266964	FXYD1
ENSG00000221946	FXYD7
ENSG00000105699	LSR
ENSG00000105697	HAMP
ENSG00000012124	CD22
ENSG00000126262	FFAR2
ENSG00000236144	AD000090.2
ENSG00000249115	HAUS5
ENSG00000167595	C19orf55
ENSG00000126264	HCST
ENSG00000011600	TYROBP
ENSG00000239382	ALKBH6
ENSG00000142065	ZFP14
ENSG00000181007	ZFP82
ENSG00000186017	ZNF566
ENSG00000254004	ZNF260
ENSG00000186020	ZNF529
ENSG00000189042	ZNF567
ENSG00000197863	ZNF790
ENSG00000251247	ZNF345
ENSG00000185869	ZNF829
ENSG00000198453	ZNF568
ENSG00000197050	ZNF420
ENSG00000196967	ZNF585A
ENSG00000245680	ZNF585B
ENSG00000188283	ZNF383
ENSG00000181666	HKR1
ENSG00000196437	ZNF569
ENSG00000189144	ZNF573
ENSG00000105738	SIPA1L3
ENSG00000099338	CATSPERG
ENSG00000130244	FAM98C
ENSG00000104814	MAP4K1
ENSG00000187994	RINL
ENSG00000128016	ZFP36
ENSG00000105193	RPS16
ENSG00000176401	EID2B
ENSG00000105204	DYRK1B
ENSG00000187187	ZNF546
ENSG00000128000	ZNF780B
ENSG00000105223	PLD3
ENSG00000090013	BLVRB
ENSG00000090006	LTBP4
ENSG00000268027	AC006129.2
ENSG00000105372	RPS19
ENSG00000105369	CD79A
ENSG00000076928	ARHGEF1
ENSG00000105732	ZNF574
ENSG00000028277	POU2F2
ENSG00000213904	LIPE-AS1
ENSG00000176531	PHLDB3
ENSG00000011422	PLAUR
ENSG00000159882	ZNF230
ENSG00000159885	ZNF222
ENSG00000267680	ZNF224
ENSG00000263002	ZNF234
ENSG00000167380	ZNF226
ENSG00000131115	ZNF227
ENSG00000167384	ZNF180
ENSG00000130203	APOE
ENSG00000130208	APOC1
ENSG00000170684	ZNF296
ENSG00000142252	GEMIN7
ENSG00000189114	BLOC1S3
ENSG00000125740	FOSB
ENSG00000213889	PPM1N
ENSG00000185800	DMWD
ENSG00000170604	IRF2BP1
ENSG00000230510	PPP5D1
ENSG00000160013	PTGIR
ENSG00000105287	PRKD2
ENSG00000105327	BBC3
ENSG00000063169	GLTSCR1
ENSG00000105373	GLTSCR2
ENSG00000063177	RPL18
ENSG00000105516	DBP
ENSG00000087086	FTL
ENSG00000104894	CD37
ENSG00000090554	FLT3LG
ENSG00000142541	RPL13A
ENSG00000104870	FCGRT
ENSG00000142546	NOSIP
ENSG00000104946	TBC1D17
ENSG00000104951	IL4I1
ENSG00000169136	ATF5
ENSG00000167747	C19orf48
ENSG00000105374	NKG7
ENSG00000171051	FPR1
ENSG00000171049	FPR2
ENSG00000187474	FPR3
ENSG00000256683	ZNF350
ENSG00000204611	ZNF616
ENSG00000196267	ZNF836
ENSG00000196214	ZNF766
ENSG00000198464	ZNF480
ENSG00000221923	ZNF880
ENSG00000167555	ZNF528
ENSG00000167562	ZNF701
ENSG00000167766	ZNF83
ENSG00000213020	ZNF611
ENSG00000189190	ZNF600
ENSG00000180257	ZNF816
ENSG00000170949	ZNF160
ENSG00000197937	ZNF347
ENSG00000197928	ZNF677
ENSG00000213799	ZNF845
ENSG00000203326	ZNF525
ENSG00000170866	LILRA3
ENSG00000226696	LENG8-AS1
ENSG00000133247	SUV420H2
ENSG00000233493	TMEM238
ENSG00000108107	RPL28
ENSG00000167685	ZNF444
ENSG00000198440	ZNF583
ENSG00000197951	ZNF71
ENSG00000083844	ZNF264
ENSG00000204524	ZNF805
ENSG00000197714	ZNF460
ENSG00000188785	ZNF548
ENSG00000105136	ZNF419
ENSG00000152439	ZNF773
ENSG00000121406	ZNF549
ENSG00000251369	ZNF550
ENSG00000213762	ZNF134
ENSG00000121417	ZNF211
ENSG00000204519	ZNF551
ENSG00000083814	ZNF671
ENSG00000152443	ZNF776
ENSG00000083828	ZNF586
ENSG00000178935	ZNF552
ENSG00000204514	ZNF814
ENSG00000166704	ZNF606
ENSG00000176593	CTD-2368P22.1
ENSG00000121413	ZSCAN18
ENSG00000181894	ZNF329
ENSG00000198131	ZNF544
ENSG00000268516	CTD-3138B18.5
ENSG00000083845	RPS5
ENSG00000083812	ZNF324
ENSG00000083807	SLC27A5
ENSG00000099326	MZF1
ENSG00000067646	ZFY
ENSG00000233864	TTTY15
ENSG00000114374	USP9Y
ENSG00000183878	UTY
ENSG00000243156	MICAL3
ENSG00000184979	USP18
ENSG00000215012	C22orf29
ENSG00000099904	ZDHHC8
ENSG00000206176	AC023490.1
ENSG00000099917	MED15
ENSG00000230513	THAP7-AS1
ENSG00000100027	YPEL1
ENSG00000272216	LL22NC03-2H8.5
ENSG00000186716	BCR
ENSG00000159496	RGL4
ENSG00000128218	VPREB3
ENSG00000133460	SLC2A11
ENSG00000100099	HPS4
ENSG00000225783	MIAT
ENSG00000244625	CTA-211A9.5
ENSG00000226471	CTA-292E10.6
ENSG00000100285	NEFH
ENSG00000184117	NIPSNAP1
ENSG00000099985	OSM
ENSG00000099992	TBC1D10A
ENSG00000242114	MTFP1
ENSG00000235989	MORC2-AS1
ENSG00000133422	MORC2
ENSG00000198832	SELM
ENSG00000100100	PIK3IP1
ENSG00000100105	PATZ1
ENSG00000198089	SFI1
ENSG00000100292	HMOX1
ENSG00000128284	APOL3
ENSG00000100336	APOL4
ENSG00000100385	IL2RB
ENSG00000100079	LGALS2
ENSG00000100097	LGALS1
ENSG00000213923	CSNK1E
ENSG00000100211	CBY1
ENSG00000128383	APOBEC3A
ENSG00000244509	APOBEC3C
ENSG00000243811	APOBEC3D
ENSG00000128394	APOBEC3F
ENSG00000239713	APOBEC3G
ENSG00000100298	APOBEC3H
ENSG00000100307	CBX7
ENSG00000100311	PDGFB
ENSG00000100316	RPL3
ENSG00000100351	GRAP2
ENSG00000100354	TNRC6B
ENSG00000184208	C22orf46
ENSG00000159958	TNFRSF13C
ENSG00000100162	CENPM
ENSG00000186654	PRR5
ENSG00000100376	FAM118A
ENSG00000205643	CDPF1
ENSG00000075234	TTC38
ENSG00000100416	TRMU
ENSG00000100422	CERK
ENSG00000260708	CTA-29F11.1
ENSG00000128159	TUBGCP6
ENSG00000100239	PPP6R2
ENSG00000100241	SBF1
ENSG00000025708	TYMP
ENSG00000130487	KLHDC7B
ENSG00000100288	CHKB
ENSG00000079974	RABL2B
ENSG00000155307	SAMSN1
ENSG00000154642	C21orf91
ENSG00000234883	MIR155HG
ENSG00000156239	N6AMT1
ENSG00000156265	MAP3K7CL
ENSG00000237945	LINC00649
ENSG00000159231	CBR3
ENSG00000159267	HLCS
ENSG00000183486	MX2
ENSG00000157601	MX1
ENSG00000160179	ABCG1
ENSG00000160185	UBASH3A
ENSG00000160213	CSTB
ENSG00000160255	ITGB2
ENSG00000197381	ADARB1
ENSG00000186866	POFUT2
ENSG00000142173	COL6A2
ENSG00000215424	MCM3AP-AS1
ENSG00000160298	C21orf58
ENSG00000160305	DIP2A
ENSG00000160307	S100B
ENSG00000198888	MT-ND1
ENSG00000198763	MT-ND2
ENSG00000198804	MT-CO1
ENSG00000198712	MT-CO2
ENSG00000228253	MT-ATP8
ENSG00000198899	MT-ATP6
ENSG00000198938	MT-CO3
ENSG00000198840	MT-ND3
ENSG00000212907	MT-ND4L
ENSG00000198886	MT-ND4
ENSG00000198786	MT-ND5
ENSG00000198695	MT-ND6
ENSG00000198727	MT-CYB
